Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
3.28,Evening,Weekday,2.0,Medium,Clear,2.88,1.76,0.2,78.04,24.260800000000003
47.29,Morning,Weekend,1.0,High,Clear,2.71,1.75,0.14,87.75,97.75249999999998
30.92,Morning,Weekday,4.0,Low,Rain,2.47,1.31,0.23,15.73,46.5931
2.41,,Weekday,2.0,Low,Clear,3.47,0.87,0.19,31.26,11.5061
45.83,Morning,Weekend,3.0,Medium,Clear,2.5,0.57,0.48,,65.9479
33.71,Morning,Weekday,2.0,Low,Rain,,1.75,0.13,38.23,66.1224
41.93,Evening,Weekend,4.0,Medium,Rain,4.34,1.64,0.21,69.27,87.6519
38.42,Afternoon,Weekday,1.0,Low,Clear,4.29,0.63,0.4,65.68,54.76660000000001
18.31,Afternoon,Weekday,1.0,Medium,Rain,4.05,1.37,0.21,64.22,42.6209
27.33,Afternoon,Weekday,4.0,High,Clear,2.24,0.6,0.13,25.97,22.0141
27.59,Evening,Weekend,1.0,Medium,Rain,2.07,1.03,0.46,67.33,61.459500000000006
109.61608204688008,Afternoon,Weekday,4.0,High,Clear,4.46,1.69,0.23,53.88,327.21766546350466
2.1,Morning,Weekend,3.0,Low,Clear,,1.05,0.22,94.38,25.4386
18.0,Night,Weekday,1.0,,Clear,3.23,1.61,0.46,28.92,45.513200000000005
7.25,Night,Weekday,,Low,Clear,2.1,1.73,0.17,19.51,17.9592
38.13,,Weekday,4.0,High,Rain,3.42,0.63,0.27,52.23,41.544
5.99,Night,Weekday,3.0,Medium,Clear,2.76,1.57,0.25,115.4,41.014300000000006
42.8,Afternoon,Weekday,,High,Rain,4.06,1.11,0.36,16.62,57.55120000000001
17.75,Afternoon,Weekday,4.0,Low,Clear,,1.96,0.2,66.5,51.03
13.48,Afternoon,Weekday,3.0,Low,Rain,3.21,1.07,0.22,96.07,38.769
48.82,Evening,Weekday,2.0,High,Clear,2.27,1.7,0.14,101.76,99.5104
,Morning,Weekend,1.0,Low,Clear,3.14,,0.14,89.47,34.4316
13.85,Night,Weekday,4.0,Medium,Clear,4.77,1.25,0.38,98.75,59.6075
10.06,Morning,Weekday,2.0,Medium,Rain,2.41,1.16,0.38,16.0,20.1596
15.36,Afternoon,Weekday,1.0,Low,Clear,3.49,0.74,0.34,6.06,16.9168
36.87,Evening,Weekend,1.0,High,Clear,2.7,1.21,0.15,37.27,52.9032
31.29,Night,Weekday,,Medium,Clear,4.1,1.9,0.28,57.45,79.637
25.65,Evening,Weekday,2.0,Medium,Snow,2.49,0.84,0.22,110.81,48.4142
21.65,Evening,Weekday,3.0,High,Clear,2.18,1.05,,24.22,31.6941
42.63,Morning,Weekend,1.0,High,Clear,4.14,,0.21,17.36,46.15260000000001
,Evening,,,Low,Clear,4.62,1.86,0.43,7.19,45.89750000000001
18.69,Evening,Weekday,3.0,Medium,Clear,4.9,1.79,0.17,79.41,51.8548
107.78683195771164,Morning,Weekend,1.0,High,Clear,2.05,1.3,0.18,79.6,322.7259960920446
47.53,Morning,Weekday,2.0,Medium,,2.11,0.77,0.2,90.19,56.7461
47.5,Morning,Weekend,,Low,Clear,4.39,0.51,0.3,95.55,57.28
9.36,Afternoon,Weekday,1.0,Medium,Clear,2.4,1.85,0.15,7.07,20.7765
25.63,Morning,Weekday,3.0,High,Clear,3.06,0.84,0.16,,39.066
20.08,Afternoon,Weekend,1.0,Low,Clear,2.8,1.05,0.42,,49.5082
45.12,Afternoon,Weekday,4.0,Medium,Clear,,1.52,0.2,35.34,79.70039999999999
6.69,Night,Weekday,4.0,Low,Clear,3.3,1.88,0.45,,44.6007
30.33,Evening,Weekday,4.0,Low,,3.48,0.51,0.15,116.81,36.4698
30.72,Afternoon,Weekend,3.0,,Clear,4.75,1.19,0.12,35.2,45.5308
3.22,Morning,Weekday,3.0,,Clear,3.36,,0.37,34.15,20.0527
46.2,Morning,,1.0,Medium,Clear,2.93,1.46,0.43,16.33,77.40390000000001
26.3,Evening,Weekday,2.0,Medium,Clear,3.03,1.61,0.39,52.71,65.9299
4.77,Morning,Weekend,2.0,High,Clear,,0.96,0.18,105.91,
8.01,Afternoon,Weekday,3.0,High,Clear,,0.98,0.43,50.28,31.7102
4.63,Afternoon,Weekday,,Medium,Clear,4.95,0.91,0.39,24.87,18.8626
,Night,Weekday,1.0,Medium,Clear,3.38,1.5,0.31,58.31,45.8161
23.81,Morning,Weekend,1.0,Medium,Rain,2.81,1.91,0.24,62.02,63.1719
17.21,Afternoon,Weekday,2.0,Low,Rain,4.48,1.61,0.1,106.78,42.8661
35.04,Morning,Weekend,4.0,Medium,Rain,2.9,1.1,0.15,9.99,
47.42,Afternoon,Weekend,3.0,High,Rain,3.36,,0.3,30.47,95.9602
33.74,Afternoon,Weekday,4.0,High,Rain,4.97,0.92,0.42,48.47,56.3682
37.79,Afternoon,,1.0,Medium,Clear,4.86,0.98,0.2,13.64,44.6222
14.72,Morning,Weekday,,Low,Clear,4.2,1.95,0.39,13.32,38.0988
8.37,Night,Weekend,3.0,Low,Rain,2.27,1.62,,80.78,52.9882
15.43,Evening,Weekend,3.0,Medium,Clear,3.16,0.96,0.41,73.79,48.2267
44.83,Afternoon,Weekend,3.0,Medium,Snow,2.17,1.09,0.19,72.04,64.7223
8.64,Afternoon,Weekend,2.0,Medium,Clear,2.55,1.71,0.48,89.33,60.2028
40.91,Afternoon,Weekday,1.0,Medium,Clear,4.73,1.16,0.28,19.1,57.53359999999999
19.37,Morning,Weekday,3.0,Medium,Clear,4.69,0.69,0.11,81.08,26.9741
21.95,Morning,Weekday,3.0,Medium,Clear,4.05,0.88,0.1,44.99,27.865
35.15,Afternoon,Weekday,1.0,Medium,Rain,2.76,,0.21,96.08,91.8308
,Afternoon,Weekday,3.0,Medium,Rain,2.03,0.91,0.19,12.42,31.4168
43.23,Morning,Weekday,2.0,Low,Rain,3.51,0.78,0.35,96.01,70.8329
35.14,Morning,Weekend,2.0,Medium,Clear,4.17,1.05,0.11,113.49,53.550900000000006
6.79,Morning,Weekend,3.0,Medium,Clear,2.61,1.65,0.12,72.29,22.4883
44.87,Afternoon,,4.0,Low,Clear,4.27,,0.34,90.81,
35.14,Afternoon,Weekend,2.0,Medium,Clear,3.88,0.81,0.28,55.94,48.006600000000006
23.33,Morning,Weekday,1.0,Low,Snow,2.04,1.92,,34.0,59.0736
44.74,,Weekday,2.0,Medium,Clear,3.65,1.25,0.49,6.72,62.8678
11.19,,Weekday,3.0,Low,Clear,4.05,0.6,0.3,84.0,35.964
15.43,Evening,Weekday,2.0,High,Clear,2.73,0.93,0.16,75.12,29.0991
42.26,Morning,Weekday,3.0,High,Rain,2.3,1.69,0.26,40.14,84.1558
35.7,Afternoon,Weekday,2.0,Low,Rain,3.39,1.52,0.47,,75.5657
,Night,Weekday,2.0,High,Clear,3.34,1.49,0.27,115.73,89.0764
5.35,,Weekday,1.0,Low,Clear,4.72,1.42,0.12,87.36,22.8002
31.54,Morning,Weekday,2.0,High,Clear,3.09,1.91,0.26,93.37,87.6076
17.94,Afternoon,,2.0,Low,Rain,4.14,1.43,,15.13,33.2741
7.32,Afternoon,Weekday,4.0,Medium,Clear,2.62,1.43,0.39,117.69,58.9867
108.14699381139414,Morning,Weekday,1.0,Low,Clear,2.25,,0.36,97.16,239.17140732641303
9.68,Morning,Weekday,2.0,Medium,,3.37,1.91,0.13,72.94,31.341
2.49,Afternoon,Weekday,,Low,Clear,2.8,1.74,0.32,108.02,41.699
34.9,Afternoon,Weekend,3.0,Medium,Clear,4.9,0.85,0.25,38.29,44.1375
48.29,Afternoon,Weekend,3.0,Medium,Rain,3.1,1.57,0.23,109.74,104.1555
